Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV)
1.55,-0.30057306384913557,0.0025953956390667456,-0.30316845948820231
1.5600000000000001,-0.30057305516294375,0.0025609509384953506,-0.30313400610143909
1.5700000000000001,-0.30057304595379408,0.0025226483641457085,-0.30309569431793981
1.5799999999999998,-0.30057303618390813,0.0024806149925247693,-0.3030536511764329
1.5900000000000001,-0.30057302582333739,0.0024349869044326742,-0.30300801272777006
1.6000000000000001,-0.30057301485123056,0.0023859097042268243,-0.30295892455545737
1.6100000000000001,-0.30057300325664277,0.002333538902884858,-0.30290654215952761
1.6199999999999999,-0.30057299103891949,0.002278040150309097,-0.30285103118922857
1.6299999999999999,-0.30057297820770212,0.0022195893089298874,-0.30279256751663203
1.6400000000000001,-0.3005729647826077,0.0021583723666312657,-0.30273133714923894
1.6500000000000001,-0.30057295079263768,0.0020945851922210905,-0.30266753598485879
1.6599999999999999,-0.3005729362753754,0.0020284331410304135,-0.30260136941640581
1.6699999999999999,-0.30057292127602592,0.0019601305217291573,-0.30253305179775508
1.6799999999999999,-0.30057290584635105,0.0018898999381006269,-0.30246280578445167
1.6900000000000002,-0.30057289004354898,0.0018179715213697471,-0.30239086156491873
1.7,-0.30057287392911747,0.0017445820697962549,-0.30231745599891374
1.71,-0.30057285756773827,0.0016699741127072921,-0.30224283168044558
1.72,-0.30057284102621101,0.0015943949160467888,-0.30216723594225781
1.73,-0.30057282437245736,0.0015180954459583316,-0.30209091981841568
1.74,-0.30057280767461614,0.001441329305990173,-0.30201413698060631
1.75,-0.30057279100023454,0.0013643516623073331,-0.30193714266254185
1.76,-0.30057277441556635,0.0012874181699011977,-0.30186019258546753
1.77,-0.30057275798497546,0.0012107839112771325,-0.30178354189625262
1.78,-0.3005727417704453,0.0011347023575410751,-0.30170744412798639
1.79,-0.30057272583118783,0.0010594243602515469,-0.30163215019143935
1.8,-0.30057271022334664,0.00098519718089853676,-0.30155790740424515
1.8100000000000001,-0.30057269499978556,0.00091226356344948018,-0.30148495856323504
1.8199999999999998,-0.30057268020995381,0.00084086085409025731,-0.30141354106404405
1.8300000000000001,-0.30057266589981768,0.00077122017110263041,-0.30134388607092033
1.8399999999999999,-0.30057265211185041,0.00070356562676867371,-0.30127621773861907
1.8500000000000001,-0.30057263888506819,0.00063811360228139765,-0.30121075248734958
1.8600000000000001,-0.30057262625510661,0.00057507207586801916,-0.30114769833097466
1.8699999999999999,-0.30057261425432619,0.00051464000369354581,-0.30108725425801974
1.8800000000000001,-0.30057260291194005,0.00045700675260010375,-0.30102960966454018
1.8899999999999999,-0.300572592254158,0.00040235158334242348,-0.3009749438375004
1.8999999999999999,-0.30057258230433848,0.00035084318269158602,-0.30092342548703005
1.9100000000000001,-0.30057257308314517,0.00030263924258639932,-0.30087521232573156
1.9199999999999999,-0.30057256460870113,0.00025788608440336969,-0.30083045069310449
1.9300000000000002,-0.30057255689673967,0.00021671832638113614,-0.30078927522312082
1.9399999999999997,-0.30057254996074501,0.00017925859226289382,-0.30075180855300793
1.95,-0.30057254381208237,0.00014561725930083193,-0.30071816107138322
1.9600000000000002,-0.30057253846011528,0.00011589224389076133,-0.30068843070400603
1.97,-0.30057253391230654,9.0168823264438549e-05,-0.300662702735571
1.98,-0.30057253017430419,6.8519491853866581e-05,-0.30064104966615807
1.9899999999999998,-0.30057252725000905,5.1003851148950595e-05,-0.30062353110115797
