tau,VACF
4.0000000000000032e-14,0.13064370900505606
4.0000000000000132e-14,0.067616506788887393
4.0000000000000233e-14,0.044675973214331206
4.0000000000000334e-14,0.044343876487333622
4.0000000000000435e-14,0.065863362880558107
4.0000000000000536e-14,0.043447156987244086
4.0000000000000637e-14,0.043049581287400371
4.0000000000000738e-14,0.06375804624893297
4.0000000000000839e-14,0.041899451848752357
4.000000000000094e-14,0.061795684756569103
4.0000000000001041e-14,0.040376595659502426
4.0000000000001142e-14,0.039586774299539419
4.0000000000001243e-14,0.057504425363192745
4.0000000000001344e-14,0.03664626680657327
4.0000000000001445e-14,0.034613520492483861
4.0000000000001546e-14,0.046130190907834913
4.0000000000001647e-14,0.17554242659104402
4.0000000000001748e-14,0.038464500927379082
4.0000000000001849e-14,0.066609580741047281
4.0000000000002051e-14,0.090519519494273476
4.0000000000002253e-14,0.13701797329311227
4.0000000000002455e-14,0.14265162400329581
4.0000000000002657e-14,0.10343567582657291
4.0000000000002859e-14,0.12416439359136218
4.0000000000003061e-14,0.13435678001696263
4.0000000000003263e-14,0.12119337744646698
4.0000000000003465e-14,0.12458626488787362
4.0000000000003667e-14,0.11804681166042409
4.0000000000003869e-14,0.16476379333615984
4.000000000000407e-14,0.11345194142289587
4.0000000000004272e-14,0.12440644227716934
4.0000000000004474e-14,0.10969788025942587
4.0000000000004676e-14,0.16300326960398936
4.0000000000004878e-14,0.10568717423838751
4.000000000000508e-14,0.12103176219299304
4.0000000000005282e-14,0.12091546496615935
4.0000000000005484e-14,0.058742826487008036
4.9999999999999787e-14,0.056560889155225731
4.9999999999999837e-14,0.11471820050161641
4.9999999999999888e-14,0.17398218552975347
4.9999999999999938e-14,0.14343862825898135
4.9999999999999964e-14,0.10793184395591285
4.9999999999999989e-14,0.10238397400663204
4.9999999999999995e-14,0.085607312321622289
5.0000000000000002e-14,0.20045586554257153
5.0000000000000014e-14,0.12422057583137827
5.0000000000000027e-14,0.051281262184553485
5.0000000000000039e-14,0.024015961567082141
5.000000000000009e-14,0.054277646707215271
5.0000000000000191e-14,0.035757258369154325
5.0000000000000292e-14,0.035405682460030966
5.0000000000000393e-14,0.052422313358472902
5.0000000000000494e-14,0.034465964697060057
5.0000000000000595e-14,0.034053875271033922
5.0000000000000696e-14,0.050241846593892026
5.0000000000000797e-14,0.032877721236004576
5.0000000000000898e-14,0.048257678998284474
5.0000000000000999e-14,0.031358249247917108
5.00000000000011e-14,0.030588432233169899
5.0000000000001201e-14,0.044099267526073516
5.0000000000001302e-14,0.02785075499000117
5.0000000000001403e-14,0.026098778082345786
5.0000000000001504e-14,0.041037161409866615
5.0000000000001604e-14,0.14801724050603857
5.0000000000001705e-14,0.025813604951058972
5.0000000000001806e-14,0.053895746725864099
5.0000000000002008e-14,0.02851637246289997
5.000000000000221e-14,0.13269989811623123
5.0000000000002412e-14,0.12807619122910519
5.0000000000002614e-14,0.08786700313926249
5.0000000000002816e-14,0.10328236121515365
5.0000000000003018e-14,0.10059756454994716
5.000000000000322e-14,0.10824273032929861
5.0000000000003422e-14,0.078612762194188515
5.0000000000003624e-14,0.11691221152199538
5.0000000000003826e-14,0.093812797583014015
5.0000000000004028e-14,0.12738510425779129
5.000000000000423e-14,0.071396374731336157
5.0000000000004432e-14,0.1135779438694953
5.0000000000004634e-14,0.085190381318106342
5.0000000000004836e-14,0.124831284204065
5.0000000000005038e-14,0.064773572984201985
5.000000000000524e-14,0.12269420977131959
5.0000000000005442e-14,0.030301074427335106
5.0000000000005643e-14,0.014818649859603045
