Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV),VACF
2.64,-1.0980238689,0.00625035281785,-1.10427422172,41.3416154637
2.65,-1.098023914,0.00652597432445,-1.10454988832,43.5268143919
2.66,-1.09802395609,0.00680417330021,-1.10482812939,45.7712311155
2.67,-1.09802399457,0.00708426359137,-1.10510825816,48.0738184813
2.68,-1.09802402897,0.00736561489688,-1.10538964386,50.4334178163
2.69,-1.09802405897,0.00764766052635,-1.1056717195,52.8487516666
2.7,-1.09802408446,0.00792990257071,-1.10595398703,55.318414522
2.71,-1.09802410547,0.00821191438499,-1.10623601985,57.8408615731
2.72,-1.0980241222,0.0084933403765,-1.10651746258,60.4143955817
2.73,-1.09802413503,0.00877389317831,-1.1067980282,63.037151982
2.74,-1.09802414443,0.009053348365,-1.10707749279,65.7070823707
2.75,-1.09802415103,0.00933153693657,-1.10735568796,68.4219365753
2.76,-1.09802415554,0.00960833585639,-1.1076324914,71.1792435351
2.77,-1.09802415877,0.0098836569809,-1.10790781575,73.9762912613
2.78,-1.09802416154,0.0101574347622,-1.1081815963,76.8101061841
2.79,-1.09802416472,0.0104296131404,-1.10845377786,79.6774322289
2.8,-1.09802416916,0.0107001320675,-1.10872430123,82.5747100019
2.81,-1.09802417568,0.0109689141227,-1.1089930898,85.4980564928
2.82,-1.09802418504,0.0112358516815,-1.10926003672,88.4432457354
2.83,-1.09802419788,0.0115007950943,-1.10952499297,91.4056908951
2.84,-1.09802421476,0.0117635423099,-1.10978775707,94.3804282875
2.85,-1.09802423607,0.0120238303408,-1.11004806641,97.3621038777
2.86,-1.09802426206,0.0122813289216,-1.11030559098,100.344962848
2.87,-1.0980242928,0.0125356366452,-1.11055992944,103.32284283
2.88,-1.09802432818,0.0127862797895,-1.11081060797,106.289171393
2.89,-1.09802436792,0.0130327139637,-1.11105708188,109.23696832
2.9,-1.09802441155,0.0132743286119,-1.11129874016,112.158853217
2.91,-1.09802445844,0.0135104543204,-1.11153491276,115.047058932
2.92,-1.09802450779,0.0137403727857,-1.11176488057,117.893451255
2.93,-1.09802455868,0.0139633292106,-1.11198788789,120.689555261
2.94,-1.09802461008,0.0141785468205,-1.1122031569,123.426588565
2.95,-1.09802466086,0.014385243122,-1.11240990398,126.095501612
2.96,-1.09802470985,0.0145826474757,-1.11260735733,128.687025035
2.97,-1.09802475586,0.014770019508,-1.11279477536,131.191723991
2.98,-1.09802479769,0.014946667868,-1.11297146556,133.600059241
2.99,-1.0980248342,0.0151119688187,-1.11313680302,135.902454588
3.0,-1.09802486432,0.0152653841555,-1.11329024847,138.089370132
3.01,-1.09802488707,0.0154064779582,-1.11343136503,140.151380569
3.02,-1.09802490162,0.0155349317087,-1.11355983332,142.079257633
3.03,-1.09802490727,0.0156505573371,-1.1136754646,143.864055544
3.04,-1.09802490351,0.0157533078061,-1.11377821132,145.497198167
3.05,-1.09802489003,0.0158432848891,-1.11386817492,146.970566423
3.06,-1.09802486672,0.0159207438569,-1.11394561058,148.276584341
3.07,-1.09802483369,0.0159860948519,-1.11401092854,149.40830203
3.08,-1.09802479127,0.0160399007985,-1.11406469207,150.359473785
3.09,-1.09802474003,0.0160828717791,-1.1141076118,151.124629511
3.1,-1.09802468072,0.0161158558878,-1.11414053661,151.699137676
3.11,-1.09802461434,0.0161398266699,-1.11416444101,152.0792581
3.12,-1.09802454204,0.0161558673499,-1.11418040939,152.262183033
3.13,-1.09802446516,0.0161651521545,-1.11418961731,152.246065187
3.14,-1.09802438514,0.0161689251408,-1.11419331028,152.030031675
3.15,-1.09802430354,0.0161684770361,-1.11419278057,151.614183127
3.16,-1.09802422193,0.0161651206953,-1.11418934263,150.999577678
3.17,-1.09802414193,0.0161601658564,-1.11418430779,150.188199888
3.18,-1.09802406506,0.0161548939464,-1.11417895901,149.182915193
3.19,-1.09802399278,0.0161505337255,-1.11417452651,147.987410879
3.2,-1.09802392638,0.0161482385777,-1.11417216495,146.606125065
3.21,-1.09802386693,0.0161490662404,-1.11417293317,145.044165614
3.22,-1.0980238153,0.0161539617154,-1.11417777702,143.307221263
3.23,-1.09802377205,0.0161637440272,-1.11418751608,141.40146756
3.24,-1.09802373746,0.0161790973762,-1.11420283484,139.333470463
3.25,-1.09802371147,0.0162005670957,-1.11422427856,137.110090547
3.26,-1.0980236937,0.0162285606518,-1.11425225435,134.73839079
3.27,-1.09802368346,0.016263353739,-1.1142870372,132.225550815
3.28,-1.09802367978,0.0163051013309,-1.11432878111,129.578790246
3.29,-1.0980236814,0.0163538533463,-1.11437753475,126.805303494
3.3,-1.09802368688,0.0164095744006,-1.11443326128,123.912207881
3.31,-1.09802369459,0.0164721669413,-1.11449586153,120.906506484
3.32,-1.09802370282,0.016541496915,-1.11456519973,117.795066526
3.33,-1.0980237098,0.0166174210001,-1.1146411308,114.584613492
3.34,-1.09802371384,0.0166998143582,-1.1147235282,111.281740584
3.35,-1.09802371331,0.0167885978184,-1.11481231113,107.892932459
3.36,-1.09802370679,0.0168837634178,-1.11490747021,104.424601683
3.37,-1.09802369305,0.0169853972646,-1.11500909032,100.883135805
3.38,-1.09802367119,0.0170936987814,-1.11511736997,97.274952592
3.39,-1.09802364058,0.0172089955105,-1.11523263609,93.606560649
3.4,-1.09802360099,0.0173317528181,-1.11535535381,89.8846225029
3.41,-1.09802355255,0.0174625780182,-1.11548613056,86.116017138
3.42,-1.09802349574,0.0176022186329,-1.11562571437,82.3078989811
3.43,-1.09802343144,0.0177515547191,-1.11577498616,78.4677504184
3.44,-1.09802336087,0.0179115854012,-1.11593494627,74.6034251319
3.45,-1.09802328554,0.01808340996,-1.1161066955,70.7231798922
3.46,-1.09802320725,0.0182682040236,-1.11629141127,66.8356929634
3.47,-1.09802312798,0.018467191584,-1.11649031957,62.9500679053
3.48,-1.09802304988,0.0186816137208,-1.1167046636,59.0758222555
3.49,-1.09802297516,0.0189126950352,-1.11693567019,55.222861247
3.5,-1.09802290603,0.0191616088947,-1.11718451492,51.4014369307
3.51,-1.09802284462,0.0194294426413,-1.11745228726,47.6220913996
3.52,-1.09802279294,0.0197171639371,-1.11773995688,43.8955786482
3.53,-1.09802275277,0.0200255893955,-1.11804834216,40.2327679566
3.54,-1.09802272559,0.0203553565868,-1.11837808217,36.6445634771
3.55,-1.09802271258,0.0207069004015,-1.11872961298,33.1418424119
3.56,-1.09802271453,0.02108043462,-1.11910314915,29.7354022986
3.57,-1.09802273184,0.0214759393634,-1.1194986712,26.4357593672
3.58,-1.09802276446,0.0218931549023,-1.11991591936,23.2528797847
3.59,-1.09802281195,0.0223315820821,-1.12035439403,20.1963790172
3.6,-1.09802287345,0.0227904893879,-1.12081336284,17.275394254
3.61,-1.09802294771,0.0232689264352,-1.12129187415,14.4984246
3.62,-1.09802303316,0.0237657434411,-1.1217887766,11.8732646322
3.63,-1.09802312793,0.0242796160081,-1.12230274394,9.40695609684
3.64,-1.09802322996,0.0248090743603,-1.12283230432,7.10574884884
3.65,-1.09802333701,0.0253525360051,-1.12337587301,4.97507417128
3.66,-1.0980234468,0.0259083406688,-1.12393178747,3.01953209417
3.67,-1.09802355707,0.0264747862788,-1.12449834335,1.24289316464
3.68,-1.09802366564,0.0270501647289,-1.12507383037,-0.351885516611
3.69,-1.09802377051,0.0276327961911,-1.1256565667,-1.76263063981
3.7,-1.09802386989,0.0282210608063,-1.1262449307,-2.98791044628
3.71,-1.09802396232,0.0288134267065,-1.12683738903,-4.02698126307
3.72,-1.09802404665,0.0294084734869,-1.12743252013,-4.87972442711
3.73,-1.09802412209,0.0300049104436,-1.12802903253,-5.54657539898
3.74,-1.09802418825,0.0306015891216,-1.12862577737,-6.02844698412
3.75,-1.09802424508,0.031197509963,-1.12922175505,-6.32664863489
3.76,-1.09802429293,0.0317918230959,-1.12981611603,-6.44280380503
3.77,-1.09802433244,0.0323838235502,-1.13040815599,-6.37876727324
3.78,-1.09802436452,0.0329729414186,-1.13099730594,-6.13654425016
3.79,-1.09802439034,0.033558727682,-1.13158311802,-5.71821293752
3.8,-1.09802441117,0.0341408365833,-1.13216524775,-5.12585202676
3.81,-1.09802442841,0.0347190055589,-1.13274343397,-4.36147441291
3.82,-1.09802444346,0.0352930338049,-1.13331747726,-3.42696816563
3.83,-1.09802445766,0.035862760578,-1.13388721824,-2.3240455504
3.84,-1.09802447226,0.0364280442939,-1.13445251655,-1.05420063621
3.85,-1.0980244883,0.0369887434076,-1.13501323171,0.381324230667
3.86,-1.09802450664,0.0375446999286,-1.13556920657,1.98156305712
3.87,-1.09802452789,0.0380957262646,-1.13612025415,3.74584214476
3.88,-1.09802455237,0.0386415958947,-1.13666614827,5.67378776615
3.89,-1.09802458016,0.0391820381713,-1.13720661833,7.7653261912
3.9,-1.09802461107,0.03971673734,-1.13774134841,10.0206768415
3.91,-1.09802464464,0.0402453356661,-1.1382699803,12.4403394801
3.92,-1.09802468022,0.0407674403745,-1.1387921206,15.0250764368
3.93,-1.09802471699,0.0412826339514,-1.13930735094,17.775890929
3.94,-1.09802475396,0.0417904872319,-1.13981524119,20.6940025563
3.95,-1.09802479007,0.0422905746082,-1.14031536468,23.7808210339
3.96,-1.09802482422,0.0427824906429,-1.14080731486,27.0379191854
3.97,-1.09802485529,0.0432658673528,-1.14129072264,30.467006134
